"Data";"Temperatura_Media";"Amplitude_Media";"Umidade_Media";"Vol_Chuva"
2015-09-23;26,3875;1,76666666666667;32,75;0
2015-09-24;26,1708333333333;1,9;37,2083333333333;0
2015-09-25;25,4458333333333;1,825;50,25;0,6
2015-09-26;21,25;1,00833333333333;78,5416666666667;12,6
2015-09-27;24,1541666666667;1,2375;68,0833333333333;0
2015-09-28;20,3666666666667;1,09583333333333;83,5;28,4
2015-09-29;21,2333333333333;1,05;80,5;2,8
2015-09-30;22,2541666666667;1,29583333333333;72,1666666666667;0,4
2015-10-01;23,2083333333333;1,0375;64,7083333333333;0
2015-10-02;25,1291666666667;1,27083333333333;60,25;0
2015-10-03;23,2375;1,1;64,125;0
2015-10-04;21,6125;0,945833333333333;74,2916666666667;0
2015-10-05;21,2;1,12083333333333;70,2083333333333;0
2015-10-06;21,5708333333333;1,49166666666667;64,5;0
2015-10-07;24,875;1,5125;58,9583333333333;0
2015-10-08;26,875;1,325;49,4166666666667;0
2015-10-09;26,7541666666667;1,125;41,2916666666667;0
2015-10-10;20,2;0,970833333333334;85,875;6
2015-10-11;23,2833333333333;1,12083333333333;68,2083333333333;0
2015-10-12;22,7625;1,16666666666667;68,875;0
2015-10-13;23,2666666666667;1,44166666666667;57,625;0
2015-10-14;26,4583333333333;1,45;48,875;0
2015-10-15;28,0541666666667;1,5625;34,0833333333333;0
2015-10-16;28,4083333333333;1,72083333333333;38,4166666666667;0
2015-10-17;27,9083333333333;1,59583333333333;48,3333333333333;0
2015-10-18;21,7416666666667;1,40833333333333;67,4583333333333;0
2015-10-19;23,6166666666667;1,42916666666667;61,5;0
2015-10-20;28,2708333333333;1,4625;47,9166666666667;0
2015-10-21;26,7875;1,65;52,75;1,8
2015-10-22;25,6166666666667;1,9625;61,25;5,2
2015-10-23;21,85;1,07916666666667;72,4583333333333;0
2015-10-24;22,7791666666667;1,33333333333333;70,8333333333333;0
2015-10-25;22,425;1,58333333333333;69,2083333333333;1,4
2015-10-26;21,8875;1,37083333333333;80,3333333333333;23,6
2015-10-27;23,1333333333333;1,01666666666667;77,7916666666667;0,6
2015-10-28;22,0625;1,3125;83,75;8
2015-10-29;22,5291666666667;1,1625;69;0
2015-10-30;23,0625;1,28333333333333;64,5;0
2015-10-31;22,8333333333333;1,02916666666667;65,7083333333333;33,6
2015-11-01;20,375;0,637499999999999;88,875;15,4
2015-11-02;21,6958333333333;1,10416666666667;86;21,6
2015-11-03;21,1208333333333;0,741666666666667;90,7083333333333;30,2
2015-11-04;23,0708333333333;1,0625;81,5416666666667;0,4
2015-11-05;23,0791666666667;0,820833333333333;81,125;4,2
2015-11-06;23,1541666666667;1,33333333333333;80,25;5,6
2015-11-07;20,275;0,7;83,0833333333333;0
2015-11-08;22,4041666666667;1,125;76,7083333333333;0
2015-11-09;22,8708333333333;0,920833333333333;76,125;0
2015-11-10;25,5333333333333;1,175;62,9583333333333;0
2015-11-11;24,2833333333333;1,6125;73,2916666666667;0,4
2015-11-12;25,1416666666667;1,45;63,9583333333333;0
2015-11-13;26,1541666666667;1,4375;64,0833333333333;0
2015-11-14;23,9083333333333;1,27916666666667;73,0416666666667;0,2
2015-11-15;22,4791666666667;1,28333333333333;77,5;34,2
2015-11-16;23,6666666666667;1,21666666666667;77,8333333333333;0,2
2015-11-17;23,3041666666667;1,575;77,3333333333333;6
2015-11-18;23,1916666666667;1,225;71,75;0,4
2015-11-19;24,5791666666667;1,4375;74,5;1,2
2015-11-20;21,65;1,24583333333333;82,9583333333333;44,2
2015-11-21;22,5416666666667;1,13333333333333;79,1666666666667;0
2015-11-22;23,7083333333333;1,33333333333333;72,375;0
2015-11-23;22,4416666666667;1,29166666666667;83,5;37,2
2015-11-24;18,9625;0,358333333333333;91,7916666666667;19,4
2015-11-25;19,4833333333333;0,641666666666667;87,0833333333333;5,8
2015-11-26;22,1666666666667;1,2125;78,75;0,8
2015-11-27;24,4958333333333;1,33333333333333;66,0416666666667;0
2015-11-28;24,6;1,3125;71,375;0
2015-11-29;22,4666666666667;1,15;82,875;7,4
2015-11-30;22,9291666666667;0,9375;81,0416666666667;2,6
2015-12-01;22,1958333333333;1,30416666666667;81,75;10,6
